ID,Section,Title,Description,Owner,Status,Due / Target Date,Awaiting BoD?,What HSM is waiting on BoD for,BoD Direction / Response,BoD Response Date,Notes / History,Last Updated,Updated By
19,Building / Facilities,Everest weatherproofing and window project,"Mushrooming 12–14 week project across multiple floors. Mark managing. Bob Gilligan attending meetings with Everest. HSM asked to produce a simple weekly progress update: status in a few words, floors being worked on, and a simple photo or graphic showing progress.",Joint,In Progress,12–14 weeks,No,,,,Mark is the project lead. Bob Gilligan is assisting. Paul has created a web app to track progress at https://everest-progress.bellairetower.com/,2026-05-20,hoa@bellairetower.com
20,Building / Facilities,Exterior & lobby electrical work — Phase 1,Remove old conduits on Green St. facade. Replace old facade light fixtures with newer smaller modern fixtures. Replace vestibule and mail room lighting with recessed ceiling lights. Clean up electrical wire tangle in vestibule. Move all electrical to allow front desk relocation to console table position. Jessica to arrange Bernard for patching/painting and front desk move after electrical work.,HSM,Not Started,,No,,,,Jessica coordinating finish work with Bernard. Front desk relocation included in scope.,2025-03-28,
21,Building / Facilities,New light fixtures — Phase 2 electrical,Install new light fixtures once fixtures are ready. Sequenced after Phase 1 electrical work (item #20).,HSM,Not Started,,No,,,,Dependent on Phase 1 (item #20) completion and fixture procurement.,2025-03-28,
22,Building / Facilities,Elevators — North (#2) troubleshooting and maintenance contract,North elevator (#2) experiencing multiple service interruptions. Adjuster onsite June 4 at 6:00am for in-depth investigation of recurring door operator issues. Maintenance contract term should be reviewed; obtain alternate bid if renewal approaching.,HSM,In Progress,Adjuster: June 4,Yes,BoD to confirm whether to authorize alternate maintenance bid now or wait for contract term date.,,,Updated: adjuster visit scheduled June 4 at 6am for door operator investigation. See attached report. Contract timing TBD.,2026-06-02,
23,Building / Facilities,Units 801 & 701 — shower drain access dispute,Unit 801 needs ceiling access in Unit 701 to replace shower drain. Unit 701 will permit access only if Mission Home Remodeling performs all restoration at full expense of Unit 801 owner. The designated contractor declined the work citing tile/glass damage risk. The plumber believes repair is feasible and low-risk and carries appropriate insurance. Unit 801 considers the restoration requirement an unreasonable financial burden. HSM has asked Unit 801 to obtain a second plumber opinion and quote. If shower continues in use with compromised drain there is significant risk of leak damaging Unit 701's newly finished ceiling.,HSM,In Progress,,Yes,BoD to review second plumber quote once received and determine whether Unit 701's restoration requirement is reasonable or if an alternative resolution is appropriate.,,,Second plumber quote pending. Risk of leak damage to Unit 701 ceiling if Unit 801 shower continues in use. Plumber carries insurance for this work type.,2026-06-02,
24,Building / Facilities,Vehicle damage claim — Unit 1103 garage door incident,Eugene was moving a vehicle for Unit 1103 when the garage door closed unexpectedly and damaged the rear of the car. Owner requesting repair or reimbursement. Robin reports door is functioning normally; possible sensor obstruction at time of incident. HSM recommends direct reimbursement rather than insurance claim depending on quote amount.,HSM,In Progress,,Yes,BoD to approve or decline reimbursement once repair quote is received. HSM recommends direct reimbursement over insurance claim depending on amount.,,,Photo attached in HSM report. Robin confirms door has no current malfunction. Awaiting repair quote from owner.,2026-06-02,
25,Building / Facilities,Garage call boxes — 3 non-functional units,Three garage call boxes (for contacting front desk from garage) are no longer functioning. Robin recommends removal as they are rarely used — residents and guests typically use cell phones or exit through garage door.,HSM,Not Started,,No,BoD to approve removal of non-functional garage call boxes.,"Approved (Hilary, Paul, ?)",,Robin's recommendation: remove all three. Low usage reported.,2026-06-02,hoa@bellairetower.com
26,Building / Facilities,Cintas proposal — fire inspection deficiency corrections,Cintas quote received to address deficiencies identified in most recent fire inspection. Proposal under review by HSM.,HSM,In Progress,,Yes,BoD to review and approve Cintas proposal to proceed.,,,Proposal under HSM review. Next steps to follow.,2026-06-02,
27,Building / Facilities,Backflow device repairs — fire main and check valves,"Fire main backflow preventer is rotated 90 degrees and jammed against wall. Must be rotated to horizontal and piped away from wall. Two quotes from Backflow Inspector: with spring replacement on both check valves $2,204; without $1,364. Plumber to shut down fire sprinkler system and repipe backflow preventer: $5,650. Total estimated cost $7,014–$7,854.",HSM,In Progress,,Yes,"BoD to approve scope and budget: $7,014 (if no spring replacement needed) to $7,854 (if spring replacement required), plus plumber repipe at $5,650.",,,Fire sprinkler shutdown required for repipe work. Two-tier quote depending on check valve condition.,2026-06-02,
28,Building / Facilities,Laundry machines — repair,Dadson completed repair on previously malfunctioning laundry machines.,HSM,Complete,,No,,,,Dadson repair completed.,2026-06-02,
